,Mese,Giorno,TMinima,TMassima,TMedia,Umidita,Fenomeni,Condizioni
0,Gennaio,1,1 °C,-1 °C,9 °C,99 %,Nebbia ,nebbia al mattino
1,Gennaio,2,4 °C,-1 °C,11 °C,95 %,Nebbia ,nebbia al mattino
2,Gennaio,3,4 °C,1 °C,6 °C,99 %,Nebbia ,nebbia al mattino
3,Gennaio,4,7 °C,6 °C,7 °C,98 %,Pioggia ,pioggia e schiarite
4,Gennaio,5,7 °C,6 °C,8 °C,91 %,Pioggia ,pioggia e schiarite
5,Gennaio,6,4 °C,0 °C,7 °C,86 %,Nebbia ,poco nuvoloso
6,Gennaio,7,2 °C,-3 °C,6 °C,82 %,Nessuno,poco nuvoloso
7,Gennaio,8,-1 °C,-3 °C,5 °C,92 %,Nebbia ,nebbia al mattino
8,Gennaio,9,0 °C,-2 °C,4 °C,96 %,Nebbia ,nebbia al mattino
9,Gennaio,10,-2 °C,-4 °C,2 °C,97 %,Nebbia ,nebbia al mattino
10,Gennaio,11,0 °C,-5 °C,9 °C,82 %,Nessuno,sereno
11,Gennaio,12,1 °C,-4 °C,7 °C,79 %,Nessuno,sereno
12,Gennaio,13,1 °C,-6 °C,8 °C,82 %,Nebbia ,nebbia al mattino
13,Gennaio,14,2 °C,-3 °C,10 °C,76 %,Nessuno,sereno
14,Gennaio,15,3 °C,-2 °C,11 °C,76 %,Nessuno,sereno
15,Gennaio,16,4 °C,-3 °C,11 °C,79 %,Nebbia ,sereno
16,Gennaio,17,6 °C,-1 °C,12 °C,63 %,Nessuno,sereno
17,Gennaio,18,4 °C,-1 °C,11 °C,86 %,Nebbia ,sereno
18,Gennaio,19,4 °C,-1 °C,8 °C,88 %,Pioggia - Nebbia ,nebbia al mattino
19,Gennaio,20,4 °C,1 °C,8 °C,94 %,Pioggia - Nebbia ,pioggia e schiarite
20,Gennaio,21,1 °C,-2 °C,4 °C,98 %,Nebbia ,nebbia al mattino
21,Gennaio,22,2 °C,-1 °C,7 °C,90 %,Nebbia ,nebbia al mattino
22,Gennaio,23,2 °C,-3 °C,6 °C,89 %,Nebbia ,nebbia al mattino
23,Gennaio,24,-1 °C,-4 °C,2 °C,100 %,Nebbia ,nebbia
24,Gennaio,25,2 °C,1 °C,4 °C,95 %,Nebbia ,nubi sparse
25,Gennaio,26,2 °C,1 °C,4 °C,97 %,Nebbia ,nubi sparse
26,Gennaio,27,1 °C,0 °C,2 °C,100 %,Pioggia - Nebbia ,nebbia al mattino
27,Gennaio,28,5 °C,-1 °C,16 °C,78 %,Nebbia ,sereno
28,Gennaio,29,4 °C,-3 °C,11 °C,76 %,Nessuno,sereno
29,Gennaio,30,9 °C,3 °C,16 °C,61 %,Nessuno,sereno
30,Gennaio,31,6 °C,0 °C,13 °C,67 %,Nessuno,sereno
31,Febbraio,1,11 °C,7 °C,16 °C,28 %,Nessuno,sereno
32,Febbraio,2,12 °C,3 °C,19 °C,41 %,Nessuno,sereno
33,Febbraio,3,8 °C,1 °C,12 °C,72 %,Nessuno,poco nuvoloso
34,Febbraio,4,8 °C,5 °C,11 °C,86 %,Pioggia ,poco nuvoloso
35,Febbraio,5,4 °C,0 °C,8 °C,99 %,Pioggia - Nebbia ,nebbia
36,Febbraio,6,4 °C,-1 °C,8 °C,97 %,Nebbia ,nebbia al mattino
37,Febbraio,7,9 °C,2 °C,14 °C,46 %,Nebbia ,nebbia al mattino
38,Febbraio,8,5 °C,-2 °C,14 °C,46 %,Nessuno,sereno
39,Febbraio,9,7 °C,0 °C,15 °C,68 %,Nessuno,sereno
40,Febbraio,10,8 °C,5 °C,11 °C,87 %,Pioggia ,poco nuvoloso
41,Febbraio,11,10 °C,8 °C,14 °C,69 %,Pioggia ,poco nuvoloso
42,Febbraio,12,6 °C,1 °C,11 °C,63 %,Nessuno,sereno
43,Febbraio,13,3 °C,-1 °C,10 °C,65 %,Nessuno,sereno
44,Febbraio,14,4 °C,0 °C,6 °C,76 %,Pioggia ,pioggia e schiarite
45,Febbraio,15,3 °C,1 °C,5 °C,97 %,Pioggia - Neve - Nebbia ,pioggia e schiarite
46,Febbraio,16,4 °C,-2 °C,9 °C,94 %,Nebbia ,nebbia al mattino
47,Febbraio,17,8 °C,0 °C,17 °C,83 %,Nebbia ,nebbia al mattino
48,Febbraio,18,7 °C,2 °C,10 °C,89 %,Nessuno,poco nuvoloso
49,Febbraio,19,9 °C,7 °C,13 °C,94 %,Pioggia - Nebbia ,pioggia e schiarite
50,Febbraio,20,10 °C,6 °C,16 °C,84 %,Nebbia ,nebbia al mattino
51,Febbraio,21,11 °C,4 °C,17 °C,60 %,Nebbia ,sereno
52,Febbraio,22,12 °C,6 °C,19 °C,36 %,Nessuno,sereno
53,Febbraio,23,9 °C,2 °C,15 °C,53 %,Nessuno,sereno
54,Febbraio,24,8 °C,2 °C,14 °C,66 %,Nessuno,poco nuvoloso
55,Febbraio,25,9 °C,1 °C,17 °C,52 %,Nebbia ,poco nuvoloso
56,Febbraio,26,8 °C,0 °C,14 °C,56 %,Nebbia ,sereno
57,Febbraio,27,6 °C,-1 °C,12 °C,53 %,Nessuno,sereno
58,Febbraio,28,5 °C,-2 °C,13 °C,56 %,Nessuno,sereno
59,Marzo,1,6 °C,2 °C,11 °C,46 %,Nessuno,poco nuvoloso
60,Marzo,2,6 °C,-2 °C,12 °C,59 %,Nessuno,sereno
61,Marzo,3,9 °C,2 °C,14 °C,62 %,Nessuno,sereno
62,Marzo,4,8 °C,3 °C,12 °C,64 %,Nessuno,poco nuvoloso
63,Marzo,5,6 °C,2 °C,9 °C,55 %,Nessuno,poco nuvoloso
64,Marzo,6,5 °C,1 °C,9 °C,52 %,Nessuno,poco nuvoloso
65,Marzo,7,5 °C,-1 °C,10 °C,58 %,Nessuno,sereno
66,Marzo,8,5 °C,0 °C,8 °C,55 %,Nessuno,poco nuvoloso
67,Marzo,9,5 °C,-3 °C,13 °C,60 %,Nessuno,sereno
68,Marzo,10,7 °C,-1 °C,15 °C,64 %,Nessuno,sereno
69,Marzo,11,8 °C,4 °C,11 °C,60 %,Nessuno,poco nuvoloso
70,Marzo,12,7 °C,4 °C,10 °C,55 %,Nessuno,poco nuvoloso
71,Marzo,13,6 °C,0 °C,11 °C,49 %,Nessuno,poco nuvoloso
72,Marzo,14,9 °C,6 °C,14 °C,57 %,Nessuno,nubi sparse
73,Marzo,15,11 °C,7 °C,13 °C,64 %,Nessuno,poco nuvoloso
74,Marzo,16,12 °C,10 °C,16 °C,68 %,Nessuno,poco nuvoloso
75,Marzo,17,11 °C,9 °C,13 °C,73 %,Nessuno,poco nuvoloso
76,Marzo,18,11 °C,7 °C,15 °C,58 %,Nessuno,poco nuvoloso
77,Marzo,19,9 °C,4 °C,14 °C,52 %,Nessuno,poco nuvoloso
78,Marzo,20,9 °C,1 °C,14 °C,44 %,Nessuno,poco nuvoloso
79,Marzo,21,9 °C,3 °C,14 °C,43 %,Nessuno,poco nuvoloso
80,Marzo,22,8 °C,0 °C,15 °C,47 %,Nessuno,sereno
81,Marzo,23,10 °C,0 °C,19 °C,45 %,Nessuno,sereno
82,Marzo,24,11 °C,2 °C,21 °C,44 %,Nessuno,sereno
83,Marzo,25,12 °C,3 °C,21 °C,37 %,Nessuno,sereno
84,Marzo,26,14 °C,3 °C,21 °C,38 %,Nessuno,sereno
85,Marzo,27,13 °C,5 °C,21 °C,45 %,Nessuno,sereno
86,Marzo,28,13 °C,4 °C,22 °C,44 %,Nessuno,sereno
87,Marzo,29,12 °C,8 °C,18 °C,60 %,Nessuno,poco nuvoloso
88,Marzo,30,11 °C,10 °C,13 °C,82 %,Pioggia ,pioggia debole
89,Marzo,31,12 °C,9 °C,15 °C,83 %,Pioggia ,pioggia e schiarite
90,Aprile,1,11 °C,7 °C,15 °C,80 %,Pioggia - Temporale ,pioggia e schiarite
91,Aprile,2,8 °C,6 °C,10 °C,64 %,Nessuno,poco nuvoloso
92,Aprile,3,7 °C,3 °C,11 °C,76 %,Pioggia ,poco nuvoloso
93,Aprile,4,9 °C,6 °C,13 °C,67 %,Nessuno,poco nuvoloso
94,Aprile,5,10 °C,2 °C,18 °C,65 %,Nessuno,sereno
95,Aprile,6,11 °C,4 °C,17 °C,67 %,Nessuno,sereno
96,Aprile,7,14 °C,8 °C,22 °C,59 %,Nessuno,poco nuvoloso
97,Aprile,8,16 °C,7 °C,22 °C,64 %,Nessuno,poco nuvoloso
98,Aprile,9,14 °C,8 °C,19 °C,46 %,Pioggia - Temporale ,poco nuvoloso
99,Aprile,10,10 °C,3 °C,18 °C,54 %,Nessuno,poco nuvoloso
100,Aprile,11,12 °C,4 °C,19 °C,44 %,Nessuno,sereno
101,Aprile,12,13 °C,5 °C,19 °C,43 %,Nessuno,sereno
102,Aprile,13,15 °C,9 °C,20 °C,55 %,Nessuno,sereno
103,Aprile,14,16 °C,7 °C,24 °C,54 %,Nessuno,sereno
104,Aprile,15,17 °C,10 °C,25 °C,51 %,Nessuno,sereno
105,Aprile,16,17 °C,9 °C,24 °C,52 %,Nessuno,sereno
106,Aprile,17,13 °C,9 °C,18 °C,48 %,Nessuno,sereno
107,Aprile,18,14 °C,9 °C,19 °C,40 %,Nessuno,poco nuvoloso
108,Aprile,19,15 °C,6 °C,22 °C,45 %,Nessuno,sereno
109,Aprile,20,14 °C,10 °C,17 °C,60 %,Nessuno,poco nuvoloso
110,Aprile,21,13 °C,10 °C,17 °C,53 %,Pioggia ,poco nuvoloso
111,Aprile,22,12 °C,9 °C,16 °C,77 %,Pioggia ,pioggia e schiarite
112,Aprile,23,14 °C,11 °C,17 °C,81 %,Pioggia - Temporale ,pioggia e schiarite
113,Aprile,24,13 °C,10 °C,17 °C,74 %,Nessuno,poco nuvoloso
114,Aprile,25,15 °C,9 °C,20 °C,70 %,Pioggia - Temporale ,temporale e schiarite
115,Aprile,26,14 °C,11 °C,18 °C,87 %,Pioggia ,poco nuvoloso
116,Aprile,27,16 °C,8 °C,22 °C,69 %,Nebbia ,poco nuvoloso
117,Aprile,28,17 °C,12 °C,22 °C,55 %,Nessuno,poco nuvoloso
118,Aprile,29,18 °C,14 °C,22 °C,50 %,Nessuno,poco nuvoloso
119,Aprile,30,17 °C,12 °C,22 °C,49 %,Nessuno,poco nuvoloso
120,Maggio,1,17 °C,13 °C,21 °C,55 %,Nessuno,poco nuvoloso
121,Maggio,2,17 °C,11 °C,22 °C,60 %,Nessuno,poco nuvoloso
122,Maggio,3,18 °C,13 °C,22 °C,61 %,Pioggia ,pioggia e schiarite
123,Maggio,4,17 °C,14 °C,22 °C,71 %,Pioggia - Temporale ,poco nuvoloso
124,Maggio,5,15 °C,13 °C,18 °C,81 %,Pioggia - Temporale ,pioggia e schiarite
125,Maggio,6,14 °C,12 °C,14 °C,95 %,Pioggia ,pioggia e schiarite
126,Maggio,7,16 °C,12 °C,20 °C,83 %,Pioggia - Nebbia ,pioggia e schiarite
127,Maggio,8,18 °C,14 °C,21 °C,72 %,Nessuno,poco nuvoloso
128,Maggio,9,19 °C,13 °C,24 °C,68 %,Pioggia - Temporale ,poco nuvoloso
129,Maggio,10,21 °C,14 °C,27 °C,64 %,Nessuno,poco nuvoloso
130,Maggio,11,23 °C,14 °C,28 °C,52 %,Nessuno,sereno
131,Maggio,12,22 °C,17 °C,28 °C,59 %,Nessuno,sereno
132,Maggio,13,22 °C,17 °C,28 °C,56 %,Nessuno,poco nuvoloso
133,Maggio,14,23 °C,18 °C,28 °C,54 %,Pioggia ,sereno
134,Maggio,15,24 °C,18 °C,29 °C,59 %,Nessuno,poco nuvoloso
135,Maggio,16,24 °C,19 °C,30 °C,47 %,Nessuno,poco nuvoloso
136,Maggio,17,24 °C,16 °C,32 °C,53 %,Nessuno,sole e caldo
137,Maggio,18,24 °C,17 °C,29 °C,58 %,Nessuno,poco nuvoloso
138,Maggio,19,24 °C,20 °C,28 °C,41 %,Nessuno,poco nuvoloso
139,Maggio,20,24 °C,16 °C,31 °C,51 %,Nessuno,sole e caldo
140,Maggio,21,26 °C,19 °C,32 °C,55 %,Nessuno,poco nuvoloso
141,Maggio,22,24 °C,18 °C,29 °C,61 %,Nessuno,poco nuvoloso
142,Maggio,23,24 °C,20 °C,28 °C,55 %,Pioggia ,poco nuvoloso
143,Maggio,24,22 °C,17 °C,28 °C,60 %,Pioggia - Temporale ,poco nuvoloso
144,Maggio,25,22 °C,18 °C,26 °C,71 %,Pioggia ,nubi sparse
145,Maggio,26,24 °C,16 °C,29 °C,66 %,Nessuno,poco nuvoloso
146,Maggio,27,25 °C,19 °C,32 °C,62 %,Nessuno,poco nuvoloso
147,Maggio,28,24 °C,18 °C,31 °C,66 %,Pioggia - Temporale ,poco nuvoloso
148,Maggio,29,17 °C,14 °C,21 °C,65 %,Pioggia ,pioggia e schiarite
149,Maggio,30,18 °C,13 °C,21 °C,65 %,Nessuno,poco nuvoloso
150,Maggio,31,20 °C,17 °C,25 °C,67 %,Nessuno,nubi sparse
151,Giugno,1,23 °C,16 °C,28 °C,61 %,Nessuno,poco nuvoloso
152,Giugno,2,25 °C,18 °C,30 °C,59 %,Nessuno,poco nuvoloso
153,Giugno,3,23 °C,20 °C,26 °C,75 %,Pioggia ,pioggia e schiarite
154,Giugno,4,24 °C,16 °C,31 °C,68 %,Nessuno,sole e caldo
155,Giugno,5,25 °C,19 °C,30 °C,67 %,Pioggia ,poco nuvoloso
156,Giugno,6,24 °C,16 °C,31 °C,61 %,Nessuno,poco nuvoloso
157,Giugno,7,24 °C,20 °C,28 °C,66 %,Pioggia - Temporale ,poco nuvoloso
158,Giugno,8,22 °C,15 °C,28 °C,66 %,Pioggia - Temporale ,poco nuvoloso
159,Giugno,9,23 °C,16 °C,29 °C,56 %,Pioggia - Temporale ,poco nuvoloso
160,Giugno,10,25 °C,17 °C,31 °C,32 %,Nessuno,sole e caldo
161,Giugno,11,24 °C,15 °C,31 °C,50 %,Nessuno,sole e caldo
162,Giugno,12,26 °C,18 °C,33 °C,49 %,Nessuno,sole e caldo
163,Giugno,13,28 °C,21 °C,34 °C,51 %,Nessuno,poco nuvoloso
164,Giugno,14,27 °C,21 °C,31 °C,55 %,Nessuno,sole e caldo
165,Giugno,15,27 °C,22 °C,32 °C,52 %,Nessuno,poco nuvoloso
166,Giugno,16,28 °C,20 °C,34 °C,57 %,Nessuno,sole e caldo
167,Giugno,17,29 °C,22 °C,34 °C,54 %,Nessuno,sole e caldo
168,Giugno,18,28 °C,24 °C,33 °C,45 %,Nessuno,sole e caldo
169,Giugno,19,29 °C,23 °C,33 °C,45 %,Nessuno,sole e caldo
170,Giugno,20,28 °C,21 °C,34 °C,50 %,Nessuno,sole e caldo
171,Giugno,21,28 °C,24 °C,33 °C,53 %,Nessuno,poco nuvoloso
172,Giugno,22,25 °C,22 °C,29 °C,67 %,Pioggia ,poco nuvoloso
173,Giugno,23,25 °C,19 °C,29 °C,75 %,Pioggia - Temporale - Nebbia ,poco nuvoloso
174,Giugno,24,25 °C,19 °C,31 °C,64 %,Pioggia - Temporale ,poco nuvoloso
175,Giugno,25,24 °C,17 °C,31 °C,63 %,Nessuno,poco nuvoloso
176,Giugno,26,26 °C,19 °C,32 °C,60 %,Nessuno,poco nuvoloso
177,Giugno,27,28 °C,20 °C,34 °C,52 %,Nessuno,sole e caldo
178,Giugno,28,26 °C,21 °C,30 °C,63 %,Pioggia - Temporale ,poco nuvoloso
179,Giugno,29,26 °C,20 °C,32 °C,62 %,Nessuno,poco nuvoloso
180,Giugno,30,27 °C,21 °C,31 °C,61 %,Nessuno,poco nuvoloso
181,Luglio,1,28 °C,22 °C,32 °C,50 %,Nessuno,poco nuvoloso
182,Luglio,2,28 °C,20 °C,34 °C,50 %,Nessuno,sole e caldo
183,Luglio,3,29 °C,21 °C,36 °C,53 %,Nessuno,poco nuvoloso
184,Luglio,4,28 °C,22 °C,34 °C,53 %,Pioggia - Temporale ,poco nuvoloso
185,Luglio,5,28 °C,20 °C,34 °C,58 %,Pioggia - Temporale ,poco nuvoloso
186,Luglio,6,28 °C,23 °C,32 °C,53 %,Nessuno,poco nuvoloso
187,Luglio,7,28 °C,22 °C,33 °C,45 %,Nessuno,poco nuvoloso
188,Luglio,8,26 °C,19 °C,32 °C,53 %,Nessuno,sole e caldo
189,Luglio,9,26 °C,20 °C,30 °C,45 %,Nessuno,poco nuvoloso
190,Luglio,10,27 °C,19 °C,32 °C,41 %,Nessuno,poco nuvoloso
191,Luglio,11,27 °C,22 °C,31 °C,47 %,Nessuno,sole e caldo
192,Luglio,12,27 °C,22 °C,31 °C,50 %,Nessuno,poco nuvoloso
193,Luglio,13,27 °C,22 °C,32 °C,53 %,Nessuno,poco nuvoloso
194,Luglio,14,28 °C,21 °C,34 °C,54 %,Nessuno,poco nuvoloso
195,Luglio,15,29 °C,24 °C,36 °C,48 %,Nessuno,sole e caldo
196,Luglio,16,29 °C,24 °C,34 °C,51 %,Nessuno,sole e caldo
197,Luglio,17,29 °C,25 °C,34 °C,51 %,Nessuno,sole e caldo
198,Luglio,18,29 °C,25 °C,34 °C,47 %,Nessuno,sole e caldo
199,Luglio,19,30 °C,22 °C,34 °C,42 %,Nessuno,sole e caldo
200,Luglio,20,30 °C,23 °C,35 °C,37 %,Nessuno,sole e caldo
201,Luglio,21,31 °C,26 °C,36 °C,38 %,Nessuno,sole e caldo
202,Luglio,22,30 °C,22 °C,36 °C,45 %,Nessuno,sole e caldo
203,Luglio,23,30 °C,23 °C,34 °C,52 %,Nessuno,poco nuvoloso
204,Luglio,24,30 °C,25 °C,35 °C,59 %,Nessuno,poco nuvoloso
205,Luglio,25,30 °C,23 °C,36 °C,52 %,Pioggia - Temporale ,poco nuvoloso
206,Luglio,26,28 °C,20 °C,34 °C,60 %,Pioggia - Temporale ,sole e caldo
207,Luglio,27,26 °C,20 °C,31 °C,60 %,Pioggia - Temporale ,poco nuvoloso
208,Luglio,28,27 °C,22 °C,32 °C,55 %,Pioggia - Temporale ,poco nuvoloso
209,Luglio,29,24 °C,20 °C,31 °C,74 %,Pioggia - Temporale ,temporale e schiarite
210,Luglio,30,25 °C,19 °C,32 °C,68 %,Nessuno,poco nuvoloso
211,Luglio,31,26 °C,18 °C,33 °C,50 %,Nessuno,sole e caldo
212,Agosto,1,28 °C,20 °C,35 °C,49 %,Nessuno,sole e caldo
213,Agosto,2,27 °C,22 °C,32 °C,48 %,Nessuno,poco nuvoloso
214,Agosto,3,28 °C,21 °C,34 °C,50 %,Nessuno,sole e caldo
215,Agosto,4,29 °C,23 °C,35 °C,50 %,Nessuno,sole e caldo
216,Agosto,5,29 °C,22 °C,36 °C,53 %,Nessuno,sole e caldo
217,Agosto,6,29 °C,23 °C,35 °C,54 %,Pioggia - Temporale ,poco nuvoloso
218,Agosto,7,26 °C,22 °C,30 °C,59 %,Pioggia - Temporale ,poco nuvoloso
219,Agosto,8,25 °C,19 °C,31 °C,63 %,Pioggia ,poco nuvoloso
220,Agosto,9,28 °C,22 °C,32 °C,51 %,Nessuno,poco nuvoloso
221,Agosto,10,27 °C,23 °C,32 °C,46 %,Nessuno,poco nuvoloso
222,Agosto,11,27 °C,23 °C,31 °C,43 %,Nessuno,sole e caldo
